event_name,event_type,sdk_version,onprem_time_sec,onprem_exit_code,onprem_gpu,cloud_time_sec,cloud_exit_code,cloud_gpu,cloud_onprem_ratio,time_diff_sec,fps_category,is_pilot_event
2024_03_17_16_05_59_Arizona_State_Sun_Devils_12_Harris_Williams_Away,batting,6.4.0,1037.1,0,RTX_4000_Ada,1081.4,0,Tesla_T4,1.043,44.3,300,no
2024_03_17_16_06_28_Arizona_State_Sun_Devils_12_Harris_Williams_Away,batting,6.4.0,427.7,0,RTX_4000_Ada,1005.2,0,Tesla_T4,2.35,577.5,300,yes
2024_03_17_16_06_42_Arizona_State_Sun_Devils_12_Harris_Williams_Away,batting,6.4.0,433.1,0,RTX_4000_Ada,964.9,0,Tesla_T4,2.228,531.8,300,no
2024_03_17_16_06_58_Arizona_State_Sun_Devils_12_Harris_Williams_Away,batting,6.4.0,487.4,0,RTX_4000_Ada,1057.5,0,Tesla_T4,2.17,570.1,300,no
2024_03_17_16_07_31_Arizona_State_Sun_Devils_12_Harris_Williams_Away,batting,6.4.0,473.9,0,RTX_4000_Ada,1033.9,0,Tesla_T4,2.182,560.0,300,no
2024_03_17_16_07_49_Arizona_State_Sun_Devils_12_Harris_Williams_Away,batting,6.4.0,125.7,0,RTX_4000_Ada,255.8,0,Tesla_T4,2.035,130.1,300,yes
2024_03_17_16_08_26_Arizona_State_Sun_Devils_17_Ryan_Campos_Away,batting,6.4.0,139.5,0,RTX_4000_Ada,293.3,0,Tesla_T4,2.103,153.8,300,no
2024_03_17_16_09_32_Arizona_State_Sun_Devils_17_Ryan_Campos_Away,batting,6.4.0,406.1,0,RTX_4000_Ada,905.1,0,Tesla_T4,2.229,499.0,300,no
2024_03_17_16_09_49_Arizona_State_Sun_Devils_17_Ryan_Campos_Away,batting,6.4.0,427.3,0,RTX_4000_Ada,956.5,0,Tesla_T4,2.238,529.2,300,no
2024_03_17_16_10_35_Arizona_State_Sun_Devils_3_Nick_McLain_Away,batting,6.4.0,451.9,0,RTX_4000_Ada,984.0,0,Tesla_T4,2.177,532.1,300,no
2024_03_17_16_11_04_Arizona_State_Sun_Devils_3_Nick_McLain_Away,batting,6.4.0,426.6,0,RTX_4000_Ada,961.5,0,Tesla_T4,2.254,534.9,300,no
2024_03_17_16_11_27_Arizona_State_Sun_Devils_3_Nick_McLain_Away,batting,6.4.0,408.8,0,RTX_4000_Ada,943.8,0,Tesla_T4,2.309,535.0,300,no
