venue,venue_type,year,session,event_type,event_name,timestamp,subject,fps,s3_path
PIT,mlb,2027,2024_03_17_15_18_08,Batting,2024_03_17_16_49_42_University_of_Arizona_11_Emilio_Corona_Home,2024_03_17_16_49_42,University_of_Arizona_11_Emilio_Corona_Home,300,Data/PIT/2027/2024_03_17_15_18_08/Batting/2024_03_17_16_49_42_University_of_Arizona_11_Emilio_Corona_Home
PIT,mlb,2027,2024_03_17_15_18_08,Batting,2024_03_17_17_11_41_Arizona_State_Sun_Devils_9_Kevin_Karstetter_Away,2024_03_17_17_11_41,Arizona_State_Sun_Devils_9_Kevin_Karstetter_Away,300,Data/PIT/2027/2024_03_17_15_18_08/Batting/2024_03_17_17_11_41_Arizona_State_Sun_Devils_9_Kevin_Karstetter_Away
PIT,mlb,2027,2024_03_17_15_18_08,Batting,2024_03_17_18_06_19_University_of_Arizona_7_Richie_Morales_Home,2024_03_17_18_06_19,University_of_Arizona_7_Richie_Morales_Home,300,Data/PIT/2027/2024_03_17_15_18_08/Batting/2024_03_17_18_06_19_University_of_Arizona_7_Richie_Morales_Home
PIT,mlb,2027,2024_03_30_12_19_37,Pitching,2024_03_30_13_07_47_University_of_Arizona_38_Cam_Walty_Home,2024_03_30_13_07_47,University_of_Arizona_38_Cam_Walty_Home,300,Data/PIT/2027/2024_03_30_12_19_37/Pitching/2024_03_30_13_07_47_University_of_Arizona_38_Cam_Walty_Home
PIT,mlb,2027,2024_03_30_12_19_37,Batting,2024_03_30_13_18_04_University_of_Arizona_24_Mason_White_Home,2024_03_30_13_18_04,University_of_Arizona_24_Mason_White_Home,300,Data/PIT/2027/2024_03_30_12_19_37/Batting/2024_03_30_13_18_04_University_of_Arizona_24_Mason_White_Home
PIT,mlb,2027,2024_03_30_12_19_37,Pitching,2024_03_30_13_27_25_UCLA_Bruins_19_Landon_Stump_Away,2024_03_30_13_27_25,UCLA_Bruins_19_Landon_Stump_Away,300,Data/PIT/2027/2024_03_30_12_19_37/Pitching/2024_03_30_13_27_25_UCLA_Bruins_19_Landon_Stump_Away
PIT,mlb,2027,2024_03_30_12_19_37,Batting,2024_03_30_13_28_51_University_of_Arizona_18_Adonys_Guzman_Home,2024_03_30_13_28_51,University_of_Arizona_18_Adonys_Guzman_Home,300,Data/PIT/2027/2024_03_30_12_19_37/Batting/2024_03_30_13_28_51_University_of_Arizona_18_Adonys_Guzman_Home
PIT,mlb,2027,2024_03_30_12_19_37,Pitching,2024_03_30_15_50_18_University_of_Arizona_51_Trevor_Long_Home,2024_03_30_15_50_18,University_of_Arizona_51_Trevor_Long_Home,300,Data/PIT/2027/2024_03_30_12_19_37/Pitching/2024_03_30_15_50_18_University_of_Arizona_51_Trevor_Long_Home
PIT,mlb,2027,2024_03_30_12_19_37,Batting,2024_03_30_15_55_08_UCLA_Bruins_24_Malakhi_Knight_Away,2024_03_30_15_55_08,UCLA_Bruins_24_Malakhi_Knight_Away,300,Data/PIT/2027/2024_03_30_12_19_37/Batting/2024_03_30_15_55_08_UCLA_Bruins_24_Malakhi_Knight_Away
PIT,mlb,2027,2024_03_30_12_19_37,Pitching,2024_03_30_16_31_32_UCLA_Bruins_50_Rashad_Ruff_Away,2024_03_30_16_31_32,UCLA_Bruins_50_Rashad_Ruff_Away,300,Data/PIT/2027/2024_03_30_12_19_37/Pitching/2024_03_30_16_31_32_UCLA_Bruins_50_Rashad_Ruff_Away
PIT,mlb,2027,2024_03_30_12_19_37,Batting,2024_03_30_17_19_38_University_of_Arizona_2_Blake_McDonald_Home,2024_03_30_17_19_38,University_of_Arizona_2_Blake_McDonald_Home,300,Data/PIT/2027/2024_03_30_12_19_37/Batting/2024_03_30_17_19_38_University_of_Arizona_2_Blake_McDonald_Home
OAK,mlb,2024,2024_04_29_18_17_53,Pitching,2024_04_29_19_13_34_Oakland_Athletics_35_Joe_Boyle_Home,2024_04_29_19_13_34,Oakland_Athletics_35_Joe_Boyle_Home,300,Data/OAK/2024/2024_04_29_18_17_53/Pitching/2024_04_29_19_13_34_Oakland_Athletics_35_Joe_Boyle_Home
OAK,mlb,2024,2024_04_29_18_17_53,Pitching,2024_04_29_19_32_18_Oakland_Athletics_35_Joe_Boyle_Home,2024_04_29_19_32_18,Oakland_Athletics_35_Joe_Boyle_Home,300,Data/OAK/2024/2024_04_29_18_17_53/Pitching/2024_04_29_19_32_18_Oakland_Athletics_35_Joe_Boyle_Home
