event_name,venue,venue_type,event_type,gpu_model,processing_time_sec,exit_code,c3d_valid,c3d_size_bytes,timestamp
2024_03_17_16_49_42_University_of_Arizona_11_Emilio_Corona_Home,PIT,mlb,Batting,RTX_4000_Ada,1578.4,0,true,1542656,2026-02-01 18:44:53
2024_03_17_17_11_41_Arizona_State_Sun_Devils_9_Kevin_Karstetter_Away,PIT,mlb,Batting,RTX_4000_Ada,508.1,0,true,1536512,2026-02-01 18:53:21
2024_03_17_18_06_19_University_of_Arizona_7_Richie_Morales_Home,PIT,mlb,Batting,RTX_4000_Ada,476.6,0,true,1485312,2026-02-01 19:01:18
2024_03_30_13_07_47_University_of_Arizona_38_Cam_Walty_Home,PIT,mlb,Pitching,RTX_4000_Ada,156.8,139,false,1536,2026-02-01 19:03:54
2024_03_30_13_18_04_University_of_Arizona_24_Mason_White_Home,PIT,mlb,Batting,RTX_4000_Ada,461.3,0,true,1284096,2026-02-01 19:11:36
2024_03_30_13_27_25_UCLA_Bruins_19_Landon_Stump_Away,PIT,mlb,Pitching,RTX_4000_Ada,138.5,139,true,980992,2026-02-01 19:13:54
2024_03_30_13_28_51_University_of_Arizona_18_Adonys_Guzman_Home,PIT,mlb,Batting,RTX_4000_Ada,484.1,0,true,1506816,2026-02-01 19:21:58
2024_03_30_15_50_18_University_of_Arizona_51_Trevor_Long_Home,PIT,mlb,Pitching,RTX_4000_Ada,155.7,139,true,1241600,2026-02-01 19:24:34
2024_03_30_15_55_08_UCLA_Bruins_24_Malakhi_Knight_Away,PIT,mlb,Batting,RTX_4000_Ada,503.8,0,true,1550336,2026-02-01 19:32:58
2024_03_30_16_31_32_UCLA_Bruins_50_Rashad_Ruff_Away,PIT,mlb,Pitching,RTX_4000_Ada,126.7,139,true,1922560,2026-02-01 19:35:05
2024_03_30_17_19_38_University_of_Arizona_2_Blake_McDonald_Home,PIT,mlb,Batting,RTX_4000_Ada,514.2,0,true,1398272,2026-02-01 19:43:39
2024_04_29_19_13_34_Oakland_Athletics_35_Joe_Boyle_Home,OAK,mlb,Pitching,RTX_4000_Ada,96.2,139,true,1047040,2026-02-01 19:45:15
2024_04_29_19_32_18_Oakland_Athletics_35_Joe_Boyle_Home,OAK,mlb,Pitching,RTX_4000_Ada,127.3,139,true,1013760,2026-02-01 19:47:22
2024_04_29_19_40_31_Oakland_Athletics_12_Max_Schuemann_Home,OAK,mlb,Batting,RTX_4000_Ada,430.5,0,true,785408,2026-02-01 19:54:33
2024_04_29_19_45_29_Pittsburgh_Pirates_14_Joey_Bart_Away,OAK,mlb,Batting,RTX_4000_Ada,388.1,0,true,889856,2026-02-01 20:01:01
2024_04_29_20_09_08_Pittsburgh_Pirates_59_Roansy_Contreras_Away,OAK,mlb,Pitching,RTX_4000_Ada,140.6,139,true,1411584,2026-02-01 20:03:22
2024_04_29_20_19_04_Oakland_Athletics_56_Dany_Jimenez_Home,OAK,mlb,Pitching,RTX_4000_Ada,132.6,139,true,1006592,2026-02-01 20:05:34
2024_04_29_20_26_42_Oakland_Athletics_1_Esteury_Ruiz_Home,OAK,mlb,Batting,RTX_4000_Ada,403.2,0,true,800768,2026-02-01 20:12:17
2024_04_29_20_54_48_Pittsburgh_Pirates_10_Bryan_Reynolds_Away,OAK,mlb,Batting,RTX_4000_Ada,346.9,0,true,700416,2026-02-01 20:18:04
2024_05_22_19_01_29_Colorado_Rockies_19_Charlie_Blackmon_Away,OAK,mlb,Batting,RTX_4000_Ada,582.3,0,true,579072,2026-02-01 20:27:47
2024_05_22_20_50_56_Oakland_Athletics_5_JD_Davis_Home,OAK,mlb,Batting,RTX_4000_Ada,420.1,0,true,889856,2026-02-01 20:34:47
2024_05_22_20_57_27_Colorado_Rockies_7_Brendan_Rodgers_Away,OAK,mlb,Batting,RTX_4000_Ada,884.9,0,true,2297856,2026-02-01 20:49:32
2025_01_30_16_16_14_Rice_Pitching_Lab_30_Jake_Mader-Cooper_Home,RUP,collegiate,Pitching,RTX_4000_Ada,65.1,139,true,2223104,2026-02-01 20:50:37
2025_01_30_16_16_30_Rice_Pitching_Lab_30_Jake_Mader-Cooper_Home,RUP,collegiate,Pitching,RTX_4000_Ada,42.0,139,true,1339392,2026-02-01 20:51:19
2025_02_21_20_04_33_Arkansas_Razorbacks_24_Charles_Davalan_Home,TEX,collegiate,Batting,RTX_4000_Ada,326.0,0,true,694272,2026-02-01 20:56:45
2025_02_21_20_37_32_Arkansas_Razorbacks_4_Justin_Thomas_Home,TEX,collegiate,Batting,RTX_4000_Ada,313.5,0,true,842240,2026-02-01 21:01:58
2025_02_21_21_20_15_Arkansas_Razorbacks_9_Wehiwa_Aloy_Home,TEX,collegiate,Batting,RTX_4000_Ada,355.4,0,true,848384,2026-02-01 21:07:54
2025_03_02_11_41_00_Ohio_State_Buckeyes_16_Mason_Eckelman_Home,TEX,collegiate,Batting,RTX_4000_Ada,314.3,0,true,988160,2026-02-01 21:13:08
2025_03_02_11_54_03_Oregon_State_Beavers_24_Ethan_Kleinschmit_Home,unknown,unknown,unknown,RTX_4000_Ada,53.1,139,true,949760,2026-02-01 21:14:01
2025_03_02_12_13_55_Oregon_State_Beavers_24_Ethan_Kleinschmit_Home,unknown,unknown,unknown,RTX_4000_Ada,68.1,139,true,1354752,2026-02-01 21:15:09
